矿区名称,地理位置,探访时间,详细记录,照片列表
内蒙古闫家地铅锌铜铁矿,内蒙古赤峰市喀喇沁旗闫家地,2026年2月,黄铁矿含量非常丰富，可见晶粒结晶明显，五角十二面体形等，还有黄铜矿，方铅矿，锌矿。,"yjd1.jpg, yjd2.jpg, yjd3.jpg, yjd4.jpg, yjd5.jpg, yjd6.jpg, yjd7.jpg"
内蒙古黄岗梁矿,内蒙古赤峰市克什克腾旗,2025/10/2，2026/8/2,著名的铁锡矿区，这里出产了顶级的红萤石、绿水晶、石榴石和白蜡烛水晶。,"hgl1.jpg, hgl2.jpg, hgl3.jpg, hgl4.jpg, hgl5.jpg, hgl6.jpg"
内蒙古岩金矿,内蒙古赤峰市聂家营子,2025年8月,矿区目前封闭，主要以黄铁矿为主，黄铁矿晶体通常不成形且小。,"njyz1.jpg, njyz2.jpg, njyz3.jpg, njyz4.jpg, njyz5.jpg, njyz6.jpg,njyz7"
内蒙古红山子钼矿,内蒙古赤峰市克什克腾旗红山子乡,2025年10月,以钼矿为主，共生黄铁矿，但是晶体少。注意有铀矿共生,"hsz1.jpg, hsz2.jpg, hsz3.jpg, hsz4.jpg"
内蒙古喀喇沁旗萤石,内蒙古赤峰市喀喇沁旗旺业店停车区附近,2025/10/1，2026/7/30,矿区目前封闭，主要以萤石为主，部分共生细小水晶。,"wyd1.jpg, wyd2.jpg, wyd3.jpg, wyd4.jpg, wyd5.jpg, wyd6.jpg, wyd7.jpg"
内蒙古赤峰电气石矿,内蒙古赤峰市翁牛特旗,2026年2月,矿区目前封闭，以工业用级电气石为主，晶体很小，部分共生石英脉。,"dqs1.jpg, dqs2.jpg, dqs3.jpg, dqs4.jpg, dqs5.jpg"
内蒙古黄花沟铅锌矿,内蒙古赤峰市翁牛特旗黄花沟,2026年2月,主要以方铅矿锌矿为主，含量很丰富。,"hhg1.jpg, hhg2.jpg, hhg3.jpg, hhg4.jpg, hhg5.jpg, hhg6.jpg"
内蒙古银都矿业,内蒙古赤峰市克什克腾旗201乡道附近,2026/5/3，8/7，22,产出锂等金属矿，但是伴有品质极高的萤石，可以在矿口捡到各种幻影萤石。也可在矿工交易地点捡到水晶萤石共生，方解石等。,"yd1.jpg,yd2.jpg,yd3.jpg,yd4.jpg,yd5.jpg,yd6.jpg,yd7.jpg,yd8.jpg,yd9.jpg"
内蒙古维拉斯托锂矿,内蒙古赤峰市克什克腾旗201乡道附近,2026年8月,锂锡矿，可以野采到锡石，方解石。（矿工描述品质高的锡石伴有白泥）,"wlst1.jpg,wlst2.jpg,wlst3.jpg,wlst4.jpg,wlst5.jpg,"
内蒙古石匠山铅锌矿,内蒙古赤峰市林西县唐家营子,2026年5月,共有三个矿区，仅外部沙龙沟还在开采。能捡到绿帘石，蓝方解，铅锌黄铁等。,"sjs1.jpg,sjs2.jpg,sjs3.jpg,sjs4.jpg,sjs5.jpg,sjs6.jpg,sjs7.jpg,"
内蒙古大青山,内蒙古赤峰市克什克腾旗沟老厂,2026年8月,无矿区，大青山黑水晶，可在河道中发现。（先掉在土里，后被冲出）部分可见放射晕。,"qs1.jpg,qs2.jpg,qs3.jpg,qs4.jpg,qs5.jpg"
内蒙古龙腾萤石矿业,内蒙古赤峰市宁城县存金沟乡,2026年8月,已停产，可以采到很不错的高温蓝，紫，绿色萤石。,"lt1.jpg,lt2.jpg,lt3.jpg,lt4.jpg,lt5.jpg,lt6.jpg,"
内蒙古天宝石业,内蒙古赤峰市宁城县大宝贝台沟,2026年8月,伟晶岩石材厂，可发现品质晶型很不错的水晶。（偶尔伴有白灰）,"tb1.jpg,tb2.jpg,tb3.jpg,tb4.jpg,tb5.jpg,"
内蒙古经棚水晶,内蒙古赤峰市克什克腾旗经棚镇光明村,2026年8月,无矿区，岩壁上清晰可见石英热液填充的痕迹，伴有很多水晶。,jpsj.jpg
内蒙古宁城铷矿,内蒙古赤峰市宁城县上窝铺,2026年8月,正在开采，其实是银矿,rk.jpg
内蒙古西樱桃沟水晶,内蒙古赤峰市林西县西樱桃沟,2026年5月,类似大青山的水晶，河道上可以发现,"xytg1.jpg,xytg2.jpg,xytg3.jpg,"
